,number,1 count,0 count
0,1,1,0
1,11,2,0
2,101,2,1
3,111011,5,1
4,11110101,6,2
5,100110111011,8,4
6,111001011011110101,12,6
7,111100111010110100110111011,18,9
8,100110011110111010110111001011011110101,25,14
9,1110010110010011011110111010110111100111010110100110111011,37,21
10,1111001110101100111001011010011011110111010110100110011110111010110111001011011110101,54,31
11,10011001111011101011001111001110101101110010110100110111101110101101110010110010011011110111010110111100111010110100110111011,79,46
12,111001011001001101111011101011001001100111101110101101111001110101101110010110100110111101110101101111001110101100111001011010011011110111010110100110011110111010110111001011011110101,115,68
