,number,lenght,1 count,0 count,Ratio 1/0
0,1,1,1,0,
1,11,2,2,0,
2,101,3,2,1,2.0
3,111011,6,5,1,5.0
4,11110101,8,6,2,3.0
5,100110111011,12,8,4,2.0
6,111001011011110101,18,12,6,2.0
7,111100111010110100110111011,27,18,9,2.0
8,100110011110111010110111001011011110101,39,25,14,1.7857142857142858
9,1110010110010011011110111010110111100111010110100110111011,58,37,21,1.7619047619047619
10,1111001110101100111001011010011011110111010110100110011110111010110111001011011110101,85,54,31,1.7419354838709677
11,10011001111011101011001111001110101101110010110100110111101110101101110010110010011011110111010110111100111010110100110111011,125,79,46,1.7173913043478262
12,111001011001001101111011101011001001100111101110101101111001110101101110010110100110111101110101101111001110101100111001011010011011110111010110100110011110111010110111001011011110101,183,115,68,1.6911764705882353
13,11110011101011001110010110100110111101110101100111001011001001101111011101011010011001111011101011011110011101011011100101101001101111011101011010011001111011101011001111001110101101110010110100110111101110101101110010110010011011110111010110111100111010110100110111011,269,169,100,1.69
14,1001100111101110101100111100111010110111001011010011011110111010110011110011101011001110010110100110111101110101101110010110010011011110111010110100110011110111010110111100111010110111001011010011011110111010110111001011001001101111011101011001001100111101110101101111001110101101110010110100110111101110101101111001110101100111001011010011011110111010110100110011110111010110111001011011110101,394,247,147,1.6802721088435375
