,Number,2,1,7,8,3
0,21782333,2,1,1,1,3
1,121117181233,2,6,1,1,2
2,111231171118111223,3,11,1,1,2
3,31121321173118312213,4,9,1,1,5
4,13211211131221171321181311221113,7,18,1,1,5
5,11131221123113112221171113122118111321223113,11,24,1,1,7
6,311311222112132113213221173113112221183113121122132113,15,26,1,1,11
7,13211321322112111312211312111322211713211321322118132113111221221113122113,22,37,1,1,13
8,1113122113121113222112311311222113111231133221171113122113121113222118111312211331221122311311222113,28,52,1,1,18
9,31131122211311123113322112132113213221133112132123222117311311222113111231133221183113112221231122212213211321322113,36,52,1,1,26
